Category,url_name,count,selected
vocabs,http://www.w3.org/2000/01/rdf-schema,59,False
vocabs,http://www.socrata.com/rdf/terms,54,False
vocabs,http://www.w3.org/1999/02/22-rdf-syntax-ns,43,False
vocabs,http://www.w3.org/2003/01/geo/wgs84_pos,9,False
vocabs,http://www.w3.org/2000/10/swap/pim/usps,4,False
vocabs,http://opendata.caceres.es/def/ontomunicipio,3,False
vocabs,http://schema.org/,3,False
vocabs,http://www.w3.org/ns/locn,3,False
vocabs,http://business.data.gov.uk/companies/def/terms/,1,False
vocabs,http://data.ign.fr/def/geometrie,1,False
props,http://www.socrata.com/rdf/terms#rowID,54,False
props,http://www.w3.org/2000/01/rdf-schema#member,54,False
props,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,43,False
props,http://www.w3.org/2003/01/geo/wgs84_pos#lat,9,False
props,http://www.w3.org/2003/01/geo/wgs84_pos#long,9,False
props,http://www.w3.org/2000/01/rdf-schema#label,5,False
props,http://www.w3.org/2000/10/swap/pim/usps#cityName,4,False
props,http://www.w3.org/2000/10/swap/pim/usps#deliveryAddress,4,False
props,http://www.w3.org/2000/10/swap/pim/usps#stateAbbr,4,False
props,http://www.w3.org/2000/10/swap/pim/usps#zipCode,4,False
classes,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,9,False
classes,http://schema.org/GeoShape,3,False
classes,http://www.w3.org/2003/01/geo/wgs84_pos#Point,3,False
classes,http://opendata.caceres.es/def/ontomunicipio#Linea,2,False
classes,http://data.ign.fr/def/geometrie#MultiPolygon,1,False
classes,http://data.lof.com/def/tonto#Secteur,1,False
classes,http://environment.data.gov.uk/def/bathing-water/BathingWater,1,False
classes,http://environment.data.gov.uk/def/bathing-water/TransitionalBathingWater,1,False
classes,http://opendata.caceres.es/def/ontomunicipio#Barrio,1,False
classes,http://opendata.caceres.es/def/ontomunicipio#Camino,1,False
vocabs,http://www.socrata.com/rdf/terms,1,False
vocabs,http://www.w3.org/1999/02/22-rdf-syntax-ns,1,False
vocabs,http://www.w3.org/2000/01/rdf-schema,1,False
props,http://www.socrata.com/rdf/terms#rowID,1,False
props,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,False
props,http://www.w3.org/2000/01/rdf-schema#member,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/codicepratica,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/comune,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/denominazionesito,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/indirizzo,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/x_gb,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/x_wgs84,1,False
props,https://www.dati.lombardia.it/resource/rqwe-fk9d/y_gb,1,False
classes,https://www.dati.lombardia.it/resource/rqwe-fk9d,1,False
vocabs,http://purl.org/dc/terms/,7,False
vocabs,http://www.w3.org/1999/02/22-rdf-syntax-ns,7,False
vocabs,http://www.w3.org/2000/01/rdf-schema,5,False
vocabs,http://purl.org/dc/elements/1.1/,4,False
vocabs,http://www.w3.org/ns/dcat,4,False
vocabs,http://xmlns.com/foaf/0.1/,4,False
vocabs,http://www.socrata.com/rdf/terms,2,False
vocabs,http://www.w3.org/2006/time,2,False
vocabs,http://www.w3.org/2006/vcard/ns,2,False
vocabs,http://comsode.eu/ontology/,1,False
props,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,7,False
props,http://purl.org/dc/terms/spatial,6,False
props,http://purl.org/dc/terms/description,4,False
props,http://purl.org/dc/terms/license,4,False
props,http://purl.org/dc/terms/modified,4,False
props,http://purl.org/dc/terms/publisher,4,False
props,http://purl.org/dc/terms/title,4,False
props,http://www.w3.org/ns/dcat#distribution,4,False
props,http://xmlns.com/foaf/0.1/homepage,4,False
props,http://purl.org/dc/elements/1.1/language,3,False
classes,http://www.w3.org/ns/dcat#Dataset,4,False
classes,http://www.w3.org/ns/dcat#Distribution,4,False
