Palabra,Category,url_name,count,selected
geological,vocabs,http://www.w3.org/1999/02/22-rdf-syntax-ns,6,False
geological,vocabs,http://www.w3.org/2000/01/rdf-schema,6,False
geological,vocabs,http://www.w3.org/2003/01/geo/wgs84_pos,4,False
geological,vocabs,http://www.socrata.com/rdf/terms,3,False
geological,vocabs,http://www.w3.org/2004/02/skos/core,3,False
geological,vocabs,http://xmlns.com/foaf/0.1/,3,False
geological,vocabs,http://dbpedia.org/ontology/,2,False
geological,vocabs,http://purl.org/dc/terms/,2,False
geological,vocabs,http://resource.geolba.ac.at/PoolParty/schema/GBA/,2,False
geological,vocabs,http://www.w3.org/2000/10/swap/pim/usps,2,False
geological,props,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6,False
geological,props,http://www.w3.org/2003/01/geo/wgs84_pos#lat,3,False
geological,props,http://www.w3.org/2003/01/geo/wgs84_pos#long,3,False
geological,props,http://dbpedia.org/ontology/colourHexCode,2,False
geological,props,http://purl.org/dc/terms/contributor,2,False
geological,props,http://purl.org/dc/terms/created,2,False
geological,props,http://purl.org/dc/terms/creator,2,False
geological,props,http://purl.org/dc/terms/date,2,False
geological,props,http://purl.org/dc/terms/description,2,False
geological,props,http://purl.org/dc/terms/publisher,2,False
geological,classes,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,3,False
geological,classes,http://www.w3.org/2004/02/skos/core#Concept,3,False
geological,classes,http://rdfs.org/ns/void#Dataset,1,False
geological,classes,http://rdfs.org/ns/void#TechnicalFeature,1,False
geological,classes,http://www.w3.org/2004/02/skos/core#Collection,1,False
geological,classes,http://www.w3.org/2004/02/skos/core#ConceptScheme,1,False
geological,classes,https://data.cityofchicago.org/resource/_2ivx-z93u,1,False
geologica,vocabs,http://www.socrata.com/rdf/terms,1,False
geologica,vocabs,http://www.w3.org/1999/02/22-rdf-syntax-ns,1,False
geologica,vocabs,http://www.w3.org/2000/01/rdf-schema,1,False
geologica,props,http://www.socrata.com/rdf/terms#rowID,1,False
geologica,props,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,False
geologica,props,http://www.w3.org/2000/01/rdf-schema#member,1,False
geologica,props,https://www.dati.lombardia.it/resource/ijqk-ahfp/attrezzature,1,False
geologica,props,https://www.dati.lombardia.it/resource/ijqk-ahfp/cod_istat,1,False
geologica,props,https://www.dati.lombardia.it/resource/ijqk-ahfp/comune,1,False
geologica,props,https://www.dati.lombardia.it/resource/ijqk-ahfp/confronto,1,False
geologica,props,https://www.dati.lombardia.it/resource/ijqk-ahfp/data_atto,1,False
geologica,props,https://www.dati.lombardia.it/resource/ijqk-ahfp/data_burl,1,False
